================================================================
  blender-web M4.pre shell:  http://localhost:8127/
  COOP=same-origin  COEP=require-corp  (SharedArrayBuffer enabled)
  shell = /Users/paws/blender-web/platform_web/shell
  /bin  = /Users/paws/blender-web/build-wasm-windowed-opt/bin-namestrip
  Ctrl-C to stop.
================================================================
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /file-bridge.js HTTP/1.1" 200 -
  "GET /boot-windowed.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.data HTTP/1.1" 200 -
  "GET /bin/blender_browser.wasm HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  code 404, message File not found
  "GET /favicon.ico HTTP/1.1" 404 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /windowed.html?pyexpr=import%20bpy%2Cos%0An%3D%5B0%5D%0Adef%20_k()%3A%0A%20%20%20%20n%5B0%5D%2B%3D1%0A%20%20%20%20os.write(2%2C%20(%22BW_TICK%20%25d%5Cn%22%25n%5B0%5D).encode())%0A%20%20%20%20try%3A%0A%20%20%20%20%20%20%20%20for%20win%20in%20bpy.context.window_manager.windows%3A%0A%20%20%20%20%20%20%20%20%20%20%20%20scr%3Dwin.screen%0A%20%20%20%20%20%20%20%20%20%20%20%20if%20scr%3A%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20for%20a%20in%20scr.areas%3A%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20if%20a.type%3D%3D%22VIEW_3D%22%3A%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20for%20r%20in%20a.regions%3A%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20if%20r.type%3D%3D%22WINDOW%22%3A%20r.tag_redraw()%0A%20%20%20%20except%20Exception%20as%20e%3A%20os.write(2%2C(%22BW_KERR%20%25s%5Cn%22%25e).encode())%0A%20%20%20%20return%200.5%0Abpy.app.timers.register(_k%2C%20first_interval%3D1.0) HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /boot-windowed.js HTTP/1.1" 200 -
  "GET /file-bridge.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.data HTTP/1.1" 200 -
  "GET /bin/blender_browser.wasm HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  code 404, message File not found
  "GET /favicon.ico HTTP/1.1" 404 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /windowed.html?pyexpr=import%20bpy%2Cos%2Csys%2Cgc%0Ac%3D%5B0%5D%0Adef%20_dh()%3A%0A%20%20%20%20c%5B0%5D%2B%3D1%0A%20%20%20%20if%20c%5B0%5D%2515%3D%3D0%3A%0A%20%20%20%20%20%20%20%20try%3A%0A%20%20%20%20%20%20%20%20%20%20%20%20import%20resource%3B%20rss%3Dresource.getrusage(resource.RUSAGE_SELF).ru_maxrss%0A%20%20%20%20%20%20%20%20except%20Exception%20as%20e%3A%0A%20%20%20%20%20%20%20%20%20%20%20%20rss%3D%22ERR%3A%22%2Btype(e).__name__%0A%20%20%20%20%20%20%20%20os.write(2%2C(%22SOAK_HB%20frames%3D%25d%20rss%3D%25s%20blocks%3D%25d%20objs%3D%25d%20meshes%3D%25d%5Cn%22%25(c%5B0%5D%2Crss%2Csys.getallocatedblocks()%2Clen(gc.get_objects())%2Clen(bpy.data.meshes))).encode())%0Abpy.types.SpaceView3D.draw_handler_add(_dh%2C()%2C%22WINDOW%22%2C%22POST_PIXEL%22)%0Aos.write(2%2Cb%22SOAK_DH_INSTALLED%5Cn%22) HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /boot-windowed.js HTTP/1.1" 200 -
  "GET /file-bridge.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.data HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.wasm HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  code 404, message File not found
  "GET /favicon.ico HTTP/1.1" 404 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
